Date,AAPL,AMZN,BAC,BND,GOOGL,IWM,JNJ,JPM,KO,MA,MCD,MSFT,NVDA,PG,QQQ,SPY,TSLA,UNH,V,VTI
2022-07-26,149.73072814941406,114.80999755859375,31.043262481689453,71.16400909423828,104.7605972290039,174.05142211914062,162.5546112060547,107.26778411865234,59.05922317504883,337.1639099121094,244.2071533203125,247.10647583007812,16.51298713684082,137.1145477294922,290.2828369140625,379.3039245605469,258.8599853515625,516.2293701171875,208.77720642089844,189.5829315185547
2022-07-27,154.8567352294922,120.97000122070312,31.550479888916016,71.36007690429688,112.78073120117188,178.0113067626953,162.10533142089844,108.98905944824219,58.872352600097656,339.1298522949219,245.91697692871094,263.62603759765625,17.768465042114258,138.41661071777344,302.550048828125,389.1531066894531,274.82000732421875,519.1619873046875,206.79251098632812,194.56175231933594
2022-07-28,155.4098358154297,122.27999877929688,31.296871185302734,71.85491943359375,113.93787384033203,180.4571533203125,163.04127502441406,108.58238983154297,59.853397369384766,348.19921875,250.25794982910156,271.1501159667969,17.962230682373047,140.71658325195312,305.5084533691406,394.0339660644531,280.8999938964844,525.84326171875,207.65713500976562,197.09959411621094
2022-07-29,160.5061798095703,134.9499969482422,31.75712013244629,71.79889678955078,116.03268432617188,181.73829650878906,163.34080505371094,109.1025619506836,59.9561767578125,349.5229797363281,250.17245483398438,275.3976745605469,18.141014099121094,132.02041625976562,311.08001708984375,399.7785339355469,297.1499938964844,526.6687622070312,208.4038543701172,199.78274536132812
2022-08-01,159.51852416992188,135.38999938964844,31.66318702697754,72.11041259765625,114.57628631591797,181.6703338623047,162.76988220214844,108.01493835449219,60.2831916809082,346.3121643066406,250.9893798828125,272.7196960449219,18.41868019104004,135.81253051757812,310.8926696777344,398.5946350097656,297.27667236328125,519.9098510742188,207.66696166992188,199.3177947998047
2022-08-02,158.03700256347656,134.16000366210938,31.03387451171875,71.38072204589844,114.84561920166016,181.49562072753906,161.84329223632812,106.33148193359375,59.46098327636719,344.8006591796875,247.96868896484375,269.5903625488281,18.50357437133789,134.90965270996094,309.9656982421875,395.96502685546875,300.586669921875,519.9876098632812,202.6560516357422,198.2425994873047
2022-08-03,164.08155822753906,139.52000427246094,31.59743881225586,71.73622131347656,117.78833770751953,184.16468811035156,163.4063262939453,107.4474868774414,59.722599029541016,349.85888671875,248.95657348632812,277.0947265625,18.870134353637695,137.6943359375,318.4068603515625,402.1656494140625,307.39666748046875,525.027587890625,204.83726501464844,201.429443359375
2022-08-04,163.76548767089844,142.57000732421875,31.37201499938965,71.91395568847656,117.8980712890625,183.7764892578125,160.78567504882812,106.26528930664062,59.489013671875,351.7755432128906,247.57928466796875,278.2522888183594,19.191741943359375,137.4757080078125,319.8958740234375,401.8939514160156,308.6333312988281,518.326904296875,209.74009704589844,201.2357177734375
2022-08-05,163.5380401611328,140.8000030517578,31.898006439208984,71.10005950927734,117.17984771728516,185.1837921142578,160.1492156982422,109.48086547851562,59.218055725097656,353.1981201171875,246.23995971679688,277.5263671875,18.96601676940918,137.542236328125,317.28265380859375,401.2146301269531,288.1700134277344,519.5990600585938,212.09814453125,201.1678924560547
2022-08-08,163.0632781982422,139.41000366210938,31.456546783447266,71.41810607910156,117.01026916503906,187.1443328857422,159.2975311279297,108.14735412597656,58.834983825683594,347.9126892089844,243.93170166015625,274.9856872558594,17.77146339416504,138.06497192382812,316.257080078125,400.7489013671875,290.42333984375,521.0945434570312,209.5927276611328,201.35195922851562
