"","AAPL","GOOGL","AMZN","MSFT","NVDA","TSLA","JPM","BAC","V","MA","UNH","JNJ","PG","KO","MCD","WMT","PFE","PEP","GSPC","IRX"
"19376",134.009582519531,92.8201675415039,93.6800003051758,228.641967773438,16.7539653778076,127.169998168945,129.53076171875,31.6016731262207,217.427291870117,364.6796875,471.622131347656,160.767562866211,137.172332763672,56.603832244873,253.160217285156,45.1413497924805,41.160587310791,161.14013671875,3898.85009765625,4.52500009536743
"19377",136.585357666016,97.7778778076172,97.25,236.814437866211,17.827262878418,133.419998168945,129.847991943359,32.1912879943848,221.274505615234,372.94580078125,473.920043945312,160.018417358398,137.702072143555,56.9450454711914,257.962554931641,45.6973571777344,41.2979164123535,161.37760925293,3972.61010742188,4.53800010681152
"19380",139.795196533203,99.5435180664062,97.5199966430664,239.140975952148,19.1803703308105,143.75,131.953186035156,32.6382522583008,221.146255493164,375.215545654297,473.033935546875,159.610641479492,135.852798461914,57.0872192382812,258.644500732422,46.3801803588867,41.178897857666,160.655670166016,4019.81005859375,4.53499984741211
"19381",141.201950073242,97.4586715698242,96.3199996948242,238.608627319336,19.2523212432861,143.889999389648,133.087463378906,32.8760070800781,220.860214233398,376.642791748047,478.671691894531,159.610641479492,136.594467163086,57.3905143737793,258.90380859375,46.5037422180176,40.931713104248,162.147079467773,4016.94995117188,4.57299995422363
"19382",140.538177490234,94.9848022460938,97.1800003051758,237.19889831543,19.3102874755859,144.429992675781,133.731521606445,33.161304473877,221.856536865234,379.001708984375,479.548034667969,160.748596191406,136.498138427734,57.7506980895996,262.207824707031,46.2826347351074,41.2612953186035,163.324996948242,4016.21997070312,4.54500007629395
"19383",142.618621826172,97.2791137695312,99.2200012207031,244.484176635742,19.7889709472656,160.270004272461,134.558197021484,33.6082725524902,221.66911315918,373.897308349609,479.528594970703,160.160659790039,135.949111938477,57.6369552612305,263.85986328125,46.240364074707,40.882495880127,161.700607299805,4060.42993164062,4.54300022125244
"19384",144.570266723633,99.1245574951172,102.23999786377,244.641891479492,20.3516006469727,177.899993896484,134.885040283203,33.7128944396973,228.308013916016,370.715728759766,473.267669677734,159.534759521484,135.390518188477,57.3336524963379,261.689178466797,46.5947875976562,40.4575042724609,161.130630493164,4070.56005859375,4.5479998588562
"19387",141.667572021484,96.700553894043,100.550003051758,239.269149780273,19.149393081665,166.660003662109,133.741119384766,33.5702362060547,225.999694824219,367.831512451172,473.014556884766,153.62678527832,135.81428527832,57.4758262634277,260.181274414062,46.2208557128906,40.2357635498047,160.997634887695,4017.77001953125,4.53499984741211
"19388",142.945541381836,98.5958557128906,103.129997253418,244.296859741211,19.52414894104,173.220001220703,134.538970947266,33.7414169311523,227.094665527344,367.316162109375,486.062072753906,154.973388671875,137.133804321289,58.1203460693359,256.829223632812,46.7801246643066,40.7993469238281,162.460571289062,4076.60009765625,4.57000017166138
"19389",144.074905395508,100.181938171387,105.150001525879,249.16682434082,20.929220199585,181.410003662109,134.183303833008,34.1598510742188,227.775344848633,370.765319824219,483.9296875,156.395843505859,137.913955688477,58.1298179626465,255.743865966797,47.0402450561523,40.6238059997559,162.973541259766,4119.2099609375,4.51999998092651
"19390",149.414688110352,107.473876953125,112.910003662109,260.848815917969,21.6947174072266,188.270004272461,133.558486938477,34.359561920166,226.453475952148,371.61767578125,458.447937011719,156.983795166016,136.931549072266,57.1346092224121,252.80485534668,46.6988334655762,40.965648651123,161.463119506836,4179.759765625,4.51000022888184
"19391",153.060409545898,104.521186828613,103.389999389648,254.687438964844,21.0861167907715,189.979995727539,135.625228881836,34.6448669433594,227.015762329102,370.596832275391,459.606597900391,156.101852416992,137.355346679688,56.7080879211426,253.784530639648,46.0777893066406,40.7069511413574,160.655670166016,4136.47998046875,4.52299976348877
"19394",150.316207885742,102.645835876465,102.180000305176,253.129821777344,21.075122833252,194.759994506836,136.423065185547,34.5878067016602,226.335083007812,369.665161132812,462.741912841797,154.916488647461,136.189895629883,57.0303421020508,257.328674316406,45.7428817749023,40.4297866821289,163.220550537109,4111.080078125,4.53299999237061
"19395",153.208999633789,107.374122619629,102.110000610352,263.766876220703,22.1584129333496,196.809997558594,138.086059570312,34.968204498291,228.189651489258,371.736602783203,464.338836669922,154.954406738281,134.860778808594,56.9355659484863,256.771575927734,45.8404235839844,40.2727203369141,162.973541259766,4164,4.57000017166138
"19396",150.504440307617,99.1245574951172,100.050003051758,262.948638916016,22.1903877258301,201.289993286133,137.115188598633,34.7114372253418,227.08479309082,367.068389892578,470.512084960938,155.153564453125,133.464218139648,56.603832244873,252.430267333984,45.5933113098145,40.6330451965332,162.593551635742,4117.85986328125,4.58500003814697
"19397",149.464233398438,94.7753219604492,98.2399978637695,259.882690429688,22.3223037719727,207.320007324219,134.981170654297,33.9696578979492,226.689437866211,367.137786865234,472.956085205078,153.057800292969,132.000198364258,56.5090446472168,250.355667114258,46.0160064697266,40.0417518615723,164.13249206543,4081.5,4.61299991607666
"19398",149.831329345703,94.3364105224609,97.6100006103516,259.370086669922,21.2510089874268,196.889999389648,135.5771484375,33.8365173339844,224.564392089844,363.579559326172,481.251983642578,153.769012451172,133.165618896484,56.5090446472168,252.046081542969,46.7313537597656,40.5406532287598,167.381317138672,4090.4599609375,4.63500022888184
"19401",152.649185180664,94.3763122558594,99.5400009155273,267.473541259766,21.7736625671387,194.639999389648,137.047897338867,33.9030838012695,226.224899291992,367.544097900391,482.323089599609,154.338027954102,134.908920288086,57.4379119873047,255.676666259766,47.4434394836426,40.6422843933105,168.87272644043,4137.2900390625,4.64499998092651
"19402",152.004241943359,94.4461364746094,99.6999969482422,268.311553955078,22.9558868408203,209.25,137.653472900391,33.8745536804199,226.728958129883,366.681793212891,479.869323730469,153.664703369141,134.148025512695,56.4806175231934,256.070434570312,47.3068733215332,40.392822265625,166.972839355469,4136.1298828125,4.65999984741211
"19403",154.117599487305,96.700553894043,101.160003662109,266.166900634766,22.7490196228027,214.240005493164,138.230239868164,33.817497253418,226.264404296875,366.364654541016,478.330963134766,151.132705688477,133.839828491211,56.4806175231934,256.0224609375,47.6580429077148,40.0232734680176,167.200805664062,4147.60009765625,4.64300012588501
"19404",152.510284423828,95.2740859985352,98.1500015258789,259.080810546875,21.9875240325928,202.039993286133,136.326950073242,33.551212310791,223.21028137207,364.293182373047,474.533477783203,150.061111450195,132.086883544922,56.1299247741699,255.321258544922,46.9101829528809,39.6814308166504,166.725814819336,4090.40991210938,4.66499996185303
"19405",151.359329223633,94.1169509887695,97.1999969482422,255.03874206543,21.3739261627197,208.309997558594,136.730682373047,33.6177864074707,220.96662902832,357.930053710938,485.954986572266,153.193969726562,134.851135253906,56.9829597473145,259.316802978516,47.6157684326172,39.9216423034668,167.457321166992,4079.09008789062,4.67999982833862
"19409",147.321090698242,91.5632781982422,94.5800018310547,249.711837768555,20.6414089202881,197.369995117188,134.221755981445,32.8284568786621,218.060699462891,352.805847167969,478.389343261719,150.911193847656,134.754837036133,56.6796569824219,257.933746337891,47.905158996582,39.4504547119141,167.3623046875,3997.34008789062,4.68800020217896
"19410",147.747741699219,91.4236221313477,95.7900009155273,248.565414428711,20.7403450012207,200.860000610352,133.19319152832,32.6097259521484,217.467666625977,351.824645996094,476.033020019531,150.701034545898,135.32307434082,56.8502655029297,258.020233154297,46.9004287719727,39.1548080444336,167.305297851562,3991.05004882812,4.69500017166138
"19411",148.233932495117,90.6654968261719,95.8199996948242,251.787246704102,23.6484279632568,202.070007324219,134.260208129883,32.5811882019043,218.564788818359,352.379699707031,478.759338378906,150.653289794922,134.8896484375,56.9545249938965,256.233734130859,46.2013511657715,39.0808906555176,167.485809326172,4012.32006835938,4.69000005722046
"19412",145.564926147461,88.9098434448242,93.5,246.302230834961,23.2706775665283,196.880004882812,135.471420288086,32.5336456298828,217.003128051758,349.991027832031,471.592864990234,148.972290039062,134.128753662109,56.7175712585449,253.256271362305,46.3249092102051,38.5727500915527,167.153335571289,3970.0400390625,4.70300006866455
"19415",146.76545715332,89.6480178833008,93.7600021362305,247.231246948242,23.4855346679688,207.630004882812,136.653778076172,32.5336456298828,217.793853759766,352.330108642578,470.609466552734,148.647521972656,134.013198852539,56.6986122131348,254.312759399414,45.9899978637695,37.676570892334,167.105834960938,3982.23999023438,4.66499996185303
"19416",146.25944519043,89.8375473022461,94.2300033569336,246.499893188477,23.2007236480713,205.710006713867,137.79768371582,32.6192398071289,217.388610839844,352.141815185547,463.423522949219,146.383834838867,132.491394042969,56.40478515625,254.940658569336,46.21435546875,37.482551574707,164.844924926758,3970.14990234375,4.71000003814697
